Target,Source
CEBPB,CSRP1 
CEBPB,CSF3R 
CEBPB,HP 
CEBPB,HMGCS1 
CEBPB,GADD45G 
CEBPB,FURIN 
CEBPB,FOS 
CEBPB,F8 
CEBPB,F3 
CEBPB,ELN 
CEBPB,DLC1 
CEBPB,CYP19A1 
CEBPB,CRH 
CEBPB,CHAT 
CEBPB,CETP 
CEBPB,CELF1 
CEBPB,CDH13 
CEBPB,CD19 
CEBPB,CD14 
CEBPB,CCL5 
CEBPB,CCL11 
CEBPB,ALB 
CEBPB,AKR1C1 
CEBPB,AFP 
CEBPB,ADM 
CEBPB,ADH6 
CEBPB,ABCC2 
CEBPB,ABCB1 
CEBPD,LEP 
CEBPD,IL1B 
CEBPD,IL1A 
CEBPD,HPX 
CEBPD,HMGCS1 
CEBPD,GADD45G 
CEBPD,C3 
CEBPD,CCL5 
CEBPD,CCND1 
CEBPD,TNF 
CEBPD,TF 
CEBPD,SFTPD 
CEBPD,PTGS2 
CEBPD,NOS2 
CEBPD,MIA 
CEBPD,IL6 
CEBPD,CCNE1 
CEBPD,CETP 
CEBPD,CFTR 
CEBPD,CSRP1 
CEBPD,CYP19A1 
CEBPD,ELN 
CEBPD,F3 
CEBPD,ALOX5AP 
CEBPE,LTF 
CEBPE,SPI1 
CEBPE,NOL3 
CEBPE,MYC 
CEBPE,MYB 
CEBPE,MPO 
CEBPE,GATA1 
CEBPE,ALOX5AP 
CEBPG,SFTPD 
CEBPG,IL4 
CHD8,CTNNB1 
CIITA,RFXANK 
CIITA,CREB1 
CIITA,NFYA 
CIITA,NFYB 
CIITA,NFYC 
CIITA,RFX5 
CIITA,STAT1 
CIITA,RFXAP 
CLOCK,PER3 
CLOCK,RORB 
CLOCK,RORC 
CLOCK,PER2 
CLOCK,PER3 
CLOCK,BHLHE40 
CLOCK,BHLHE41 
CLOCK,CRY1 
CLOCK,CRY2 
CLOCK,PER2 
CLOCK,CSNK1E 
CLOCK,CSNK1D 
CLOCK,CRY2 
CLOCK,CRY1 
CLOCK,RORA 
CREB1,SLC25A21 
CREB1,PDE4D 
CREB1,ARG1 
CREB1,AQP3 
CREB1,ANGPTL4 
CREB1,ADRB3 
CREB1,ADRB2 
CREB1,ADRA1D 
CREB1,ADRA1A 
CREB1,ACHE 
CREB1,INS 
CREB1,JUN 
CREB1,KAT7 
CREB1,KCNN3 
CREB1,LOR 
CREB1,LTC4S 
CREB1,ME2 
CREB1,MSMB 
CREB1,MUC1 
CREB1,MUC4 
CREB1,MYH10 
CREB1,NF1 
CREB1,NFE2 
CREB1,NOS1 
CREB1,NPC1 
CREB1,NR3C2 
CREB1,NR5A1 
CREB1,NRAS 
CREB1,NTS 
CREB1,ODC1 
CREB1,PCDHB11 
CREB1,PCK1 
CREB1,PCK2 
CREB1,PCSK1 
CREB1,PCSK6 
CREB1,PDCL 
CREB1,ATF3 
